ID riunione,Argomento,Ora di inizio,Ora di fine,Email dell’utente,Durata (minuti),Partecipanti,
01234567890,Seminari del Corso di Eccellenza 2099,02/09/2099 02:42:35 PM,02/09/2099 05:04:29 PM,cde@fakemail.com,142,9,

Nome (nome originale),Email dell’utente,Ora di entrata,Ora di uscita,Durata (minuti),Guest
Progetto Manhattan (oppie),,02/09/2099 02:42:35 PM,02/09/2099 05:04:28 PM,3,Sì
Bini Domenico,,02/09/2099 02:45:18 PM,02/09/2099 05:04:28 PM,111,Sì
Succo (Succo),strosprobat@fakemail.com,02/09/2099 02:45:47 PM,02/09/2099 05:04:26 PM,139,Sì
LJS,,02/09/2099 02:48:33 PM,02/09/2099 03:07:10 PM,19,Sì
CrispyBacon (Chris Bacon),,02/09/2099 02:48:38 PM,02/09/2099 03:03:34 PM,1,Sì
ilcristo (iPhone di Tecnezio99m),,02/09/2099 02:49:08 PM,02/09/2099 04:06:20 PM,78,Sì
iPhone di John,,02/09/2099 02:49:11 PM,02/09/2099 05:04:29 PM,136,Sì
Charlie (Charlie Chaplin),charliechaplin@fakemail.com,02/09/2099 02:49:28 PM,02/09/2099 02:49:34 PM,1,Sì
Progetto Manhattan (oppie),,02/09/2099 02:49:29 PM,02/09/2099 05:04:28 PM,135,Sì
Faby Lagianotti (fabio),,02/09/2099 02:49:52 PM,02/09/2099 05:04:28 PM,135,Sì
CrispyBacon (Chris Bacon),,02/09/2099 02:50:54 PM,02/09/2099 03:31:55 PM,42,Sì
